year,address,storeys,units,score,parkings,elevators,windows,cleanliness,Decade,Average_Score
1962,464 SPADINA RD,4,24,83,1,0,3,2,1960,87.9720394736842
1960,35 SPENCER AVE,7,80,88,1,3,3,2,1960,87.9720394736842
1962,47 SPENCER AVE,5,56,86,1,3,3,3,1960,87.9720394736842
1939,57 SPENCER AVE,3,19,90,2,0,3,3,1930,84.36363636363636
1962,1 SPRINGHURST AVE,5,41,82,1,3,2,3,1960,87.9720394736842
1965,30 SPRINGHURST AVE,12,122,83,2,3,3,2,1960,87.9720394736842
1959,140 SPRINGHURST AVE,5,20,86,2,3,2,2,1950,86.53728070175438
1967,77 ST CLAIR AVE E,20,185,97,3,3,3,3,1960,87.9720394736842
1955,171 ST CLAIR AVE E,4,36,42,2,3,1,1,1950,86.53728070175438
1960,2890 ST CLAIR AVE E,4,31,73,2,0,1,2,1960,87.9720394736842
1955,2892 ST CLAIR AVE E,4,34,95,2,0,3,3,1950,86.53728070175438
1960,2893 ST CLAIR AVE E,3,12,97,3,0,2,3,1960,87.9720394736842
1950,2908 ST CLAIR AVE E,4,31,79,1,0,2,2,1950,86.53728070175438
1956,2920 ST CLAIR AVE E,4,15,80,2,0,2,2,1950,86.53728070175438
1956,2922 ST CLAIR AVE E,4,16,89,3,0,3,3,1950,86.53728070175438
1952,3214 ST CLAIR AVE E,3,16,90,3,0,2,3,1950,86.53728070175438
1952,3222 ST CLAIR AVE E,3,16,90,3,0,2,3,1950,86.53728070175438
1968,3423 ST CLAIR AVE E,4,30,91,2,3,2,3,1960,87.9720394736842
1970,3479 ST CLAIR AVE E,8,94,88,3,3,2,2,1970,88.4402489626556
1968,3485 ST CLAIR AVE E,9,97,89,0,3,2,3,1960,87.9720394736842
1953,3738 ST CLAIR AVE E,4,22,98,3,3,3,3,1950,86.53728070175438
1964,3744 ST CLAIR AVE E,6,88,88,3,3,2,3,1960,87.9720394736842
1937,64 ST CLAIR AVE W,6,97,78,2,3,2,1,1930,84.36363636363636
1926,80 ST CLAIR AVE W,4,25,92,0,3,3,3,1920,83.97142857142858
1938,110 ST CLAIR AVE W,9,54,79,3,3,3,3,1930,84.36363636363636
1970,250 ST CLAIR AVE W,4,45,92,1,3,3,3,1970,88.4402489626556
1959,276 ST CLAIR AVE W,4,49,86,3,3,3,2,1950,86.53728070175438
1920,345 ST CLAIR AVE W,4,15,89,0,0,3,3,1920,83.97142857142858
1969,355 ST CLAIR AVE W,24,168,100,3,3,3,3,1960,87.9720394736842
1930,497 ST CLAIR AVE W,4,19,68,0,0,3,2,1930,84.36363636363636
1920,599 ST CLAIR AVE W,3,16,91,0,0,3,3,1920,83.97142857142858
1986,747 ST CLAIR AVE W,8,97,94,3,3,3,3,1980,89.2235294117647
1929,795 ST CLAIR AVE W,3,19,71,0,0,2,2,1920,83.97142857142858
1929,915 ST CLAIR AVE W,3,18,85,0,0,3,3,1920,83.97142857142858
1930,921 ST CLAIR AVE W,4,23,88,0,0,2,3,1930,84.36363636363636
1930,923 ST CLAIR AVE W,4,24,89,0,0,2,3,1930,84.36363636363636
1951,1095 ST CLAIR AVE W,3,11,67,0,0,1,2,1950,86.53728070175438
1968,7 ST DENNIS DR,17,278,91,2,3,3,3,1960,87.9720394736842
1967,10 ST DENNIS DR,9,325,65,1,3,3,2,1960,87.9720394736842
1920,2453 QUEEN ST E,4,16,75,0,0,2,2,1920,83.97142857142858
