year,address,storeys,units,score,parkings,elevators,windows,cleanliness,Decade,Average_Score
1971,2 BRAHMS AVE,12,164,94,3,3,N/A,3,1970,88.4402489626556
1971,5 BRAHMS AVE,13,178,91,2,3,3,1,1970,88.4402489626556
1958,31 BRENTCLIFFE RD,4,16,71,3,0,2,1,1950,86.53728070175438
1979,250 BRENYON WAY,21,208,95,2,3,3,3,1970,88.4402489626556
1956,650 BRIAR HILL AVE,9,85,85,2,3,2,3,1950,86.53728070175438
1974,660 BRIAR HILL AVE,8,76,91,2,3,3,3,1970,88.4402489626556
1960,851 BRIAR HILL AVE,3,10,75,2,0,2,1,1960,87.9720394736842
1965,55 BRIDESBURG DR,5,61,92,2,3,3,3,1960,87.9720394736842
1961,1 BRIMLEY RD,6,58,86,3,3,2,3,1960,87.9720394736842
1979,17 BRIMLEY RD,11,330,94,2,3,2,2,1970,88.4402489626556
1969,20 BROADOAKS DR,9,177,78,2,3,2,2,1960,87.9720394736842
1950,812 BROADVIEW AVE,3,24,89,0,0,3,2,1950,86.53728070175438
1969,1000 BROADVIEW AVE,18,110,99,2,3,3,3,1960,87.9720394736842
1970,1175 BROADVIEW AVE,12,134,99,3,3,3,3,1970,88.4402489626556
1955,1243 BROADVIEW AVE,4,38,98,3,0,3,3,1950,86.53728070175438
1956,28 BROADWAY AVE,3,75,86,0,3,3,2,1950,86.53728070175438
1965,66 BROADWAY AVE,20,357,92,2,3,3,2,1960,87.9720394736842
1963,75 BROADWAY AVE,10,205,89,0,3,3,3,1960,87.9720394736842
1954,133 BROADWAY AVE,4,52,87,2,3,3,2,1950,86.53728070175438
1970,136 BROADWAY AVE,6,39,81,1,3,3,2,1970,88.4402489626556
1885,267 BROCK AVE,3,11,93,0,3,3,3,1880,91
1969,5 BROCKLEY DR,21,254,94,3,3,3,3,1960,87.9720394736842
1968,5 BROOKBANKS DR,15,124,92,2,3,3,3,1960,87.9720394736842
1967,15 BROOKBANKS DR,20,148,93,2,3,3,3,1960,87.9720394736842
1965,101 BROOKHAVEN DR,3,19,84,2,0,3,3,1960,87.9720394736842
1964,32 BROOKWELL DR,4,38,78,2,3,2,2,1960,87.9720394736842
1964,34 BROOKWELL DR,4,44,83,2,3,2,2,1960,87.9720394736842
1965,35 BROOKWELL DR,4,76,82,2,3,2,2,1960,87.9720394736842
1966,41-51 BROOKWELL DR,4,48,84,3,3,3,3,1960,87.9720394736842
1966,41 BROOKWELL DR,4,38,87,1,3,2,3,1960,87.9720394736842
1964,55 BROWNLOW AVE,15,121,85,2,3,3,3,1960,87.9720394736842
1935,7 BRULE TER,3,13,84,2,0,3,2,1930,84.36363636363636
1960,375 BRUNSWICK AVE,9,63,81,3,3,3,2,1960,87.9720394736842
1982,30 BURN HILL RD,22,238,88,2,2,2,3,1980,89.2235294117647
1974,50 BURN HILL RD,24,163,95,0,3,2,3,1970,88.4402489626556
1959,24 BURNHAMTHORPE RD,5,42,94,3,3,3,3,1950,86.53728070175438
1977,12 BUTTONWOOD AVE,4,40,85,2,3,3,3,1970,88.4402489626556
1970,478 CALEDONIA RD,3,20,82,2,0,2,3,1970,88.4402489626556
1960,480 CALEDONIA RD,4,28,85,2,3,2,3,1960,87.9720394736842
1967,70 CAMBRIDGE AVE,21,275,96,3,3,3,3,1960,87.9720394736842
1960,1 CANYON AVE,18,202,90,3,3,2,2,1960,87.9720394736842
1959,35 CANYON AVE,21,237,95,3,3,2,3,1950,86.53728070175438
1974,40 CARABOB CRT,15,196,95,2,3,3,3,1970,88.4402489626556
1974,50 CARABOB CRT,15,197,87,2,3,3,2,1970,88.4402489626556
2010,92 CARLTON ST,12,110,94,2,3,3,3,2010,96
1927,134 CARLTON ST,3,35,83,0,0,3,3,1920,83.97142857142858
1960,166 CARLTON ST,11,92,92,2,3,3,3,1960,87.9720394736842
1988,172 CARLTON ST,4,25,90,0,0,3,2,1980,89.2235294117647
1962,14 CARLUKE CRES,7,101,92,3,3,3,3,1960,87.9720394736842
1962,16 CARLUKE CRES,7,101,83,3,3,3,3,1960,87.9720394736842
1962,20 CARLUKE CRES,12,154,99,3,3,3,3,1960,87.9720394736842
1965,34 CARSCADDEN DR,6,69,92,2,3,3,3,1960,87.9720394736842
1966,250 CASSANDRA BLVD,4,234,88,1,3,3,3,1960,87.9720394736842
1969,270 CASSANDRA BLVD,4,83,85,3,3,3,3,1960,87.9720394736842
1950,36 CASTLE FRANK RD,4,53,99,3,3,3,3,1950,86.53728070175438
1956,1030 CASTLEFIELD AVE,5,56,94,2,3,3,3,1950,86.53728070175438
1959,1040 CASTLEFIELD AVE,4,44,75,1,0,2,2,1950,86.53728070175438
1959,1050 CASTLEFIELD AVE,5,64,83,3,3,2,3,1950,86.53728070175438
1968,11 CATFORD RD,9,218,82,2,3,3,1,1960,87.9720394736842
1992,98 CAVELL AVE,6,100,94,2,3,3,2,1990,88.76712328767124
1961,5 CEDAR DR,10,86,79,2,3,3,3,1960,87.9720394736842
1972,160 CHALKFARM DR,23,466,81,1,2,3,2,1970,88.4402489626556
1972,180 CHALKFARM DR,23,263,79,1,3,2,2,1970,88.4402489626556
1961,525 CHAPLIN CRES,8,110,87,2,3,2,3,1960,87.9720394736842
1981,55 CHARLES ST W,32,147,88,2,3,3,2,1980,89.2235294117647
1977,57 CHARLES ST W,21,250,96,0,3,3,2,1970,88.4402489626556
2012,8 CHICHESTER PL,20,210,100,3,3,3,3,2010,96
1952,332 CHISHOLM AVE,3,12,76,2,0,2,2,1950,86.53728070175438
1965,36 CHURCH ST,6,41,72,1,3,2,2,1960,87.9720394736842
2005,167 CHURCH ST,28,388,97,2,3,3,3,2000,91.13793103448276
1910,592 CHURCH ST,3,12,99,0,0,3,3,1910,84.04166666666667
1910,608 CHURCH ST,4,35,97,0,0,3,3,1910,84.04166666666667
1994,138 CLAREMONT ST,3,18,57,2,0,2,1,1990,88.76712328767124
1929,2 CLARENDON AVE,4,49,100,3,3,3,3,1920,83.97142857142858
1960,1 CLAUDE AVE,3,30,82,0,0,3,3,1960,87.9720394736842
1955,3 CLAXTON BLVD,3,19,86,0,0,2,3,1950,86.53728070175438
1937,5 CLAXTON BLVD,3,18,85,0,0,3,3,1930,84.36363636363636
1967,32 CLAYLAND DR,5,64,97,2,3,3,3,1960,87.9720394736842
1960,30 CLEARVIEW HTS,4,25,85,3,0,2,3,1960,87.9720394736842
1951,60 CLEARVIEW HTS,4,37,83,1,0,3,3,1950,86.53728070175438
1950,79 CLEARVIEW HTS,4,54,67,1,0,2,2,1950,86.53728070175438
1951,80 CLEARVIEW HTS,4,36,83,1,0,3,2,1950,86.53728070175438
1950,81 CLEARVIEW HTS,3,40,66,1,0,2,2,1950,86.53728070175438
1958,85 CLEARVIEW HTS,3,35,90,2,0,2,2,1950,86.53728070175438
1981,105 CLEMENT RD,7,195,98,3,3,3,3,1980,89.2235294117647
1989,72 CLINTON ST,7,157,93,2,3,3,3,1980,89.2235294117647
1970,318 CLINTON ST,3,12,57,2,0,3,2,1970,88.4402489626556
1992,336 CLINTON ST,3,17,96,3,0,2,3,1990,88.76712328767124
1972,60 CLIPPER RD,14,206,92,2,3,3,3,1970,88.4402489626556
1970,70 CLIPPER RD,14,206,91,1,3,3,3,1970,88.4402489626556
1993,7 COATSWORTH CRES,6,48,84,0,3,3,3,1990,88.76712328767124
1989,11 COATSWORTH CRES,6,174,82,3,3,3,2,1980,89.2235294117647
1989,33 COATSWORTH CRES,5,128,85,1,3,3,2,1980,89.2235294117647
1957,99 COE HILL DR,4,81,92,3,3,3,2,1950,86.53728070175438
1935,190 COLIN AVE,6,40,86,2,3,3,3,1930,84.36363636363636
2022,555 COLLEGE ST,9,61,99,3,3,3,3,2020,98.76923076923077
1950,1094 COLLEGE ST,3,19,79,0,0,3,3,1950,86.53728070175438
2016,75 COOPERAGE ST,12,145,98,3,3,3,3,2010,96
1977,90 CORDOVA AVE,13,184,85,2,3,2,2,1970,88.4402489626556
1963,20 COSBURN AVE,3,30,94,3,0,3,3,1960,87.9720394736842
1962,25 COSBURN AVE,22,129,97,2,3,3,3,1960,87.9720394736842
1965,30 COSBURN AVE,5,26,92,0,0,3,3,1960,87.9720394736842
1970,80 COSBURN AVE,15,84,98,3,3,3,3,1970,88.4402489626556
1986,91 COSBURN AVE,11,86,82,1,3,3,2,1980,89.2235294117647
1961,100 COSBURN AVE,7,140,98,2,3,3,3,1960,87.9720394736842
1955,111 COSBURN AVE,3,36,94,3,0,3,3,1950,86.53728070175438
1956,130 COSBURN AVE,6,48,89,1,1,3,3,1950,86.53728070175438
1958,149 COSBURN AVE,4,29,93,2,0,3,3,1950,86.53728070175438
1962,150 COSBURN AVE,12,153,93,1,2,3,3,1960,87.9720394736842
1965,175 COSBURN AVE,4,30,96,2,0,3,3,1960,87.9720394736842
1959,190 COSBURN AVE,6,47,89,1,3,3,3,1950,86.53728070175438
1968,210 COSBURN AVE,4,33,92,3,0,3,3,1960,87.9720394736842
1959,240 COSBURN AVE,6,38,98,3,3,3,3,1950,86.53728070175438
2004,243 COSBURN AVE,6,32,87,2,3,3,2,2000,91.13793103448276
1955,246 COSBURN AVE,6,40,97,2,3,3,3,1950,86.53728070175438
1927,250 COSBURN AVE,6,40,85,3,3,3,2,1920,83.97142857142858
1959,110 COTTONWOOD DR,3,22,97,3,0,3,3,1950,86.53728070175438
1965,15 COUGAR CRT,17,193,80,1,3,1,2,1960,87.9720394736842
1983,176 COWAN AVE,8,127,99,3,3,3,3,1980,89.2235294117647
1995,123 COXWELL AVE,3,13,86,0,0,2,2,1990,88.76712328767124
1989,126 COXWELL AVE,4,14,97,0,0,3,3,1980,89.2235294117647
2002,425 COXWELL AVE,3,30,97,3,3,2,3,2000,91.13793103448276
1990,570 COXWELL AVE,3,11,99,0,0,3,3,1990,88.76712328767124
1956,9 CRAIGTON DR,4,30,89,1,0,2,3,1950,86.53728070175438
1955,10 CRAIGTON DR,4,36,90,3,0,3,3,1950,86.53728070175438
1956,19 CRAIGTON DR,4,38,90,1,0,2,3,1950,86.53728070175438
1955,40 CRAIGTON DR,4,30,94,3,0,2,3,1950,86.53728070175438
1971,7 CRESCENT PL,29,584,88,1,3,3,3,1970,88.4402489626556
1971,11 CRESCENT PL,10,159,88,1,3,3,3,1970,88.4402489626556
1952,1 CROWN HILL PL,4,33,96,3,0,3,3,1950,86.53728070175438
1958,7 CROWN HILL PL,4,35,85,2,0,2,2,1950,86.53728070175438
1953,10 CROWN HILL PL,5,26,80,2,0,3,3,1950,86.53728070175438
1996,45 CUMMER AVE,4,53,93,2,3,3,3,1990,88.76712328767124
1967,505 CUMMER AVE,13,175,96,2,3,3,3,1960,87.9720394736842
1966,74 CURLEW DR,4,112,87,3,3,3,3,1960,87.9720394736842
1985,123 D'ARCY ST,3,24,62,1,0,1,2,1980,89.2235294117647
1960,3 DAMASK AVE,3,10,82,2,0,2,3,1960,87.9720394736842
2002,1117 DANFORTH AVE,3,26,93,0,0,3,3,2000,91.13793103448276
1991,1577 DANFORTH AVE,6,126,97,3,3,3,3,1990,88.76712328767124
1988,2526 DANFORTH AVE,7,48,82,2,3,3,2,1980,89.2235294117647
1959,508 DANFORTH RD,3,24,92,3,0,3,3,1950,86.53728070175438
1958,996 DANFORTH RD,3,20,90,3,0,2,2,1950,86.53728070175438
1978,1290 DANFORTH RD,8,179,99,3,3,3,3,1970,88.4402489626556
1967,1299 DANFORTH RD,12,138,87,2,3,3,3,1960,87.9720394736842
1962,1340 DANFORTH RD,15,173,97,1,3,3,3,1960,87.9720394736842
1965,1350 DANFORTH RD,15,225,98,3,3,3,3,1960,87.9720394736842
1963,1360 DANFORTH RD,15,172,99,3,3,3,3,1960,87.9720394736842
1969,95 DAVENPORT RD,3,26,69,0,0,2,1,1960,87.9720394736842
1992,1060 DAVENPORT RD,4,10,80,0,0,1,1,1990,88.76712328767124
1973,33 DAVISVILLE AVE,21,266,99,3,3,3,3,1970,88.4402489626556
1970,77 DAVISVILLE AVE,30,483,92,2,3,3,2,1970,88.4402489626556
2017,99 DAVISVILLE AVE,14,179,100,3,3,3,3,2010,96
1970,390 DAWES RD,14,246,88,1,3,3,3,1970,88.4402489626556
1958,506 DAWES RD,4,67,94,1,3,3,3,1950,86.53728070175438
1960,510 DAWES RD,4,62,64,1,0,3,2,1960,87.9720394736842
1959,540 DAWES RD,4,43,94,1,3,3,3,1950,86.53728070175438
1959,608 DAWES RD,6,84,65,2,3,2,1,1950,86.53728070175438
2013,5 DEAUVILLE LANE,7,62,90,2,3,3,3,2010,96
2007,46 DELAWARE AVE,3,14,77,0,0,2,3,2000,91.13793103448276
1930,220 DELAWARE AVE,4,16,87,0,0,3,3,1930,84.36363636363636
1983,30 DENARDA ST,15,255,91,2,3,3,3,1980,89.2235294117647
1960,19 DENISON RD E,3,26,75,1,0,3,2,1960,87.9720394736842
1970,34 DIXINGTON CRES,5,60,83,2,3,3,3,1970,88.4402489626556
1964,263 DIXON RD,15,171,92,2,3,3,3,1960,87.9720394736842
1967,265 DIXON RD,16,181,91,2,3,3,2,1960,87.9720394736842
1968,290 DIXON RD,6,49,92,3,3,3,3,1960,87.9720394736842
1964,301 DIXON RD,16,225,94,1,3,3,3,1960,87.9720394736842
1966,1059 DON MILLS RD,6,70,91,2,3,3,3,1960,87.9720394736842
1959,1065 DON MILLS RD,4,61,99,3,3,3,3,1950,86.53728070175438
1959,1071 DON MILLS RD,4,61,97,3,3,3,3,1950,86.53728070175438
1958,1122 DON MILLS RD,6,66,95,3,3,3,3,1950,86.53728070175438
1950,1129 DON MILLS RD,6,46,83,2,3,3,3,1950,86.53728070175438
1968,2775 DON MILLS RD,14,170,90,3,3,3,3,1960,87.9720394736842
1995,10 DORA AVE,8,134,96,3,3,3,3,1990,88.76712328767124
1912,255 DOVERCOURT RD,3,16,89,2,0,3,2,1910,84.04166666666667
1960,382 DOVERCOURT RD,3,18,70,0,0,2,1,1960,87.9720394736842
1967,730 DOVERCOURT RD,20,356,93,2,3,2,3,1960,87.9720394736842
2008,767 DOVERCOURT RD,3,19,91,3,0,3,3,2000,91.13793103448276
1989,75 DOWLING AVE,7,138,94,2,3,3,3,1980,89.2235294117647
1955,99 DOWLING AVE,5,111,98,2,3,3,3,1950,86.53728070175438
1965,115 DOWLING AVE,9,70,97,2,3,3,2,1960,87.9720394736842
1900,120 DOWLING AVE,3,17,78,0,0,2,1,1900,81.1875
1930,122 DOWLING AVE,5,27,84,0,0,1,3,1930,84.36363636363636
1917,189 DOWLING AVE,4,10,75,0,0,3,2,1910,84.04166666666667
1954,3 DREXEL RD,3,26,81,2,0,2,3,1950,86.53728070175438
1970,50 DRIFTWOOD AVE,14,109,92,2,3,2,3,1970,88.4402489626556
1941,5 DU MAURIER BLVD,4,41,81,2,3,3,3,1940,83.27777777777777
1964,200 DUFFERIN ST,14,251,97,2,3,3,3,1960,87.9720394736842
1984,345 DUFFERIN ST,8,200,87,2,3,3,2,1980,89.2235294117647
2021,400 DUFFERIN ST,13,152,99,0,3,3,3,2020,98.76923076923077
2021,410 DUFFERIN ST,10,198,100,3,3,3,3,2020,98.76923076923077
1971,919 DUFFERIN ST,15,113,93,2,3,3,2,1970,88.4402489626556
1950,2036 DUFFERIN ST,3,12,77,2,0,2,2,1950,86.53728070175438
1959,2208 DUFFERIN ST,4,18,68,2,0,2,2,1950,86.53728070175438
1983,3050 DUFFERIN ST,14,258,89,2,3,2,3,1980,89.2235294117647
1995,80 DUNDAS ST E,15,138,91,3,3,3,2,1990,88.76712328767124
1980,310 DUNDAS ST E,7,155,90,2,2,3,3,1980,89.2235294117647
1991,330 DUNDAS ST E,4,29,87,0,0,3,2,1990,88.76712328767124
2012,425 DUNDAS ST E,5,32,84,0,3,3,2,2010,96
1991,431 DUNDAS ST E,4,37,97,0,3,3,3,1990,88.76712328767124
1973,859 DUNDAS ST E,4,29,97,0,3,3,3,1970,88.4402489626556
1958,1981 DUNDAS ST E,3,12,65,2,0,2,1,1950,86.53728070175438
1954,2994 KEELE ST,4,12,77,2,0,2,3,1950,86.53728070175438
1965,3390 KEELE ST,11,258,89,2,2,3,3,1960,87.9720394736842
1994,3470 KEELE ST,4,59,86,2,3,3,3,1990,88.76712328767124
1970,3680 KEELE ST,3,238,81,2,3,2,2,1970,88.4402489626556
1962,3700 KEELE ST,3,57,77,3,3,1,3,1960,87.9720394736842
1972,3710 KEELE ST,9,92,77,2,3,2,2,1970,88.4402489626556
1958,65 KEEWATIN AVE,4,50,86,2,3,3,2,1950,86.53728070175438
2016,77 KEEWATIN AVE,8,79,99,2,3,3,3,2010,96
1927,125 KENILWORTH AVE,3,20,81,0,0,2,2,1920,83.97142857142858
1961,191 KENILWORTH AVE,4,31,86,2,3,3,2,1960,87.9720394736842
1967,2 KENNEDY AVE,4,25,81,2,0,3,3,1960,87.9720394736842
1971,672 KENNEDY RD,6,71,93,2,3,3,3,1970,88.4402489626556
1969,675 KENNEDY RD,11,192,89,2,3,3,2,1960,87.9720394736842
1958,709 KENNEDY RD,6,79,92,2,3,2,3,1950,86.53728070175438
1958,711 KENNEDY RD,6,79,86,2,3,2,2,1950,86.53728070175438
1957,712 KENNEDY RD,4,49,94,3,3,2,3,1950,86.53728070175438
1960,806 KENNEDY RD,5,57,92,3,3,3,3,1960,87.9720394736842
1969,815 KENNEDY RD,5,33,86,2,3,3,3,1960,87.9720394736842
1961,819 KENNEDY RD,6,62,84,2,3,3,3,1960,87.9720394736842
1961,821 KENNEDY RD,6,59,75,1,2,3,1,1960,87.9720394736842
1954,831 KENNEDY RD,6,50,90,3,3,2,3,1950,86.53728070175438
1960,879 KENNEDY RD,4,29,89,2,3,3,3,1960,87.9720394736842
1961,893 KENNEDY RD,7,77,77,1,3,3,1,1960,87.9720394736842
1956,18 KENRAE RD,3,13,80,0,0,2,2,1950,86.53728070175438
1950,105 KENWOOD AVE,4,31,90,2,0,2,2,1950,86.53728070175438
1994,15 KING ST,12,119,93,3,3,3,3,1990,88.76712328767124
1974,33 KING ST,27,420,95,3,3,3,3,1970,88.4402489626556
2014,585 KING ST E,8,128,97,3,3,3,3,2010,96
1925,135 EARL PL,4,16,76,0,0,3,3,1920,83.97142857142858
1993,50 EARL ST,4,22,95,0,3,3,3,1990,88.76712328767124
1989,502 EASTERN AVE,5,19,94,0,0,1,3,1980,89.2235294117647
1989,970 EASTERN AVE,4,14,95,0,0,3,3,1980,89.2235294117647
1965,1080 EASTERN AVE,6,41,98,3,3,3,3,1960,87.9720394736842
1965,33 EASTMOUNT AVE,24,200,97,1,3,3,3,1960,87.9720394736842
1960,15 EASTWOOD RD,4,24,78,2,0,3,2,1960,87.9720394736842
1960,3 ECCLESTON DR,4,61,88,2,3,3,3,1960,87.9720394736842
1962,11 ECCLESTON DR,4,78,90,2,3,3,3,1960,87.9720394736842
1960,17 ECCLESTON DR,4,60,87,2,3,3,3,1960,87.9720394736842
1960,21 ECCLESTON DR,4,64,86,2,3,2,2,1960,87.9720394736842
1960,48 ECCLESTON DR,4,69,80,2,3,3,3,1960,87.9720394736842
1958,50 ECCLESTON DR,4,60,89,2,3,3,3,1950,86.53728070175438
1959,23 EDGEWOOD AVE,4,24,84,2,0,2,2,1950,86.53728070175438
1968,30 EDITH DR,13,172,89,2,3,2,3,1960,87.9720394736842
1928,7 EDMUND AVE,6,68,87,2,3,3,3,1920,83.97142857142858
2011,110 EDWARD ST,5,50,86,2,3,2,2,2010,96
1981,130 EGLINTON AVE E,15,266,91,2,3,3,2,1980,89.2235294117647
1930,196 EGLINTON AVE E,4,25,81,0,0,3,2,1930,84.36363636363636
1969,322 EGLINTON AVE E,19,207,100,3,3,3,3,1960,87.9720394736842
1962,365 EGLINTON AVE E,7,48,97,3,3,3,3,1960,87.9720394736842
1969,368 EGLINTON AVE E,13,149,89,2,3,3,3,1960,87.9720394736842
1965,435 EGLINTON AVE E,12,52,84,2,3,3,3,1960,87.9720394736842
1960,440 EGLINTON AVE E,10,90,93,2,3,3,3,1960,87.9720394736842
1963,445 EGLINTON AVE E,9,57,91,2,3,3,3,1960,87.9720394736842
1964,490 EGLINTON AVE E,8,51,89,1,3,3,3,1960,87.9720394736842
1960,551 EGLINTON AVE E,8,54,95,2,3,3,3,1960,87.9720394736842
1954,888 EGLINTON AVE E,3,18,78,2,0,3,2,1950,86.53728070175438
1961,892 EGLINTON AVE E,4,37,90,2,0,3,3,1960,87.9720394736842
1954,894 EGLINTON AVE E,4,44,86,2,0,3,2,1950,86.53728070175438
1958,904 EGLINTON AVE E,4,23,84,2,0,3,2,1950,86.53728070175438
1945,958 EGLINTON AVE E,3,24,83,0,0,2,2,1940,83.27777777777777
1944,960 EGLINTON AVE E,3,16,78,3,0,2,2,1940,83.27777777777777
1982,1790 EGLINTON AVE E,9,117,94,3,3,2,3,1980,89.2235294117647
1971,2225 EGLINTON AVE E,6,94,90,3,3,2,3,1970,88.4402489626556
1960,2239 EGLINTON AVE E,7,107,94,3,3,2,3,1960,87.9720394736842
1964,2283 EGLINTON AVE E,9,101,95,2,3,2,3,1960,87.9720394736842
1960,2293 EGLINTON AVE E,7,118,91,2,3,2,2,1960,87.9720394736842
1968,2303 EGLINTON AVE E,7,169,93,3,3,3,3,1960,87.9720394736842
1960,2354 EGLINTON AVE E,5,72,89,1,3,3,3,1960,87.9720394736842
1960,2356 EGLINTON AVE E,5,72,88,1,3,3,3,1960,87.9720394736842
1965,2360 EGLINTON AVE E,7,130,94,3,3,3,3,1960,87.9720394736842
1965,3101 EGLINTON AVE E,6,68,91,1,3,2,2,1960,87.9720394736842
1950,115 EGLINTON AVE W,3,18,80,0,0,3,2,1950,86.53728070175438
1920,137 EGLINTON AVE W,3,18,84,0,0,3,2,1920,83.97142857142858
1955,211 EGLINTON AVE W,3,31,93,3,0,3,3,1950,86.53728070175438
1957,564 EGLINTON AVE W,5,25,82,0,3,2,3,1950,86.53728070175438
1960,570 EGLINTON AVE W,3,11,82,3,3,3,3,1960,87.9720394736842
1950,699 EGLINTON AVE W,4,27,89,2,0,3,3,1950,86.53728070175438
1930,779 EGLINTON AVE W,3,17,84,2,0,3,3,1930,84.36363636363636
1952,780 EGLINTON AVE W,7,87,95,2,3,2,3,1950,86.53728070175438
1941,800 EGLINTON AVE W,4,36,79,2,3,2,2,1940,83.27777777777777
1980,989 EGLINTON AVE W,7,146,92,2,3,3,2,1980,89.2235294117647
1955,1071 EGLINTON AVE W,3,33,87,3,0,2,2,1950,86.53728070175438
1958,1480 EGLINTON AVE W,4,11,74,1,0,1,2,1950,86.53728070175438
1960,1685 EGLINTON AVE W,3,38,74,3,0,1,1,1960,87.9720394736842
1981,1775 EGLINTON AVE W,14,300,91,2,3,3,2,1980,89.2235294117647
1959,2005 EGLINTON AVE W,5,78,89,2,3,3,3,1950,86.53728070175438
1975,2501 EGLINTON AVE W,4,25,95,1,3,3,3,1970,88.4402489626556
1950,2515 EGLINTON AVE W,4,34,74,2,0,2,2,1950,86.53728070175438
1953,2701 EGLINTON AVE W,4,49,95,3,0,3,3,1950,86.53728070175438
1960,147 EIGHTH ST,4,52,94,3,0,3,3,1960,87.9720394736842
1962,25 ELIZABETH ST,3,29,95,3,0,3,3,1960,87.9720394736842
1970,22 ELKHORN DR,5,223,86,2,3,3,2,1970,88.4402489626556
1966,65 ELLERSLIE AVE,6,107,97,3,3,3,3,1960,87.9720394736842
1967,1175 ELLESMERE RD,5,65,90,2,3,3,3,1960,87.9720394736842
1982,200 ELLSWORTH AVE,3,18,94,3,0,3,3,1980,89.2235294117647
1957,11 ELM AVE,4,59,89,1,3,3,3,1950,86.53728070175438
1968,12 ELM GROVE AVE,4,32,82,2,0,1,2,1960,87.9720394736842
1967,140 ELM RIDGE DR,18,229,96,3,3,3,3,1960,87.9720394736842
1985,145 ELM RIDGE DR,9,53,97,2,3,3,3,1980,89.2235294117647
1959,10 ELVASTON DR,3,20,76,2,0,3,3,1950,86.53728070175438
1968,55 EMMETT AVE,23,267,77,1,3,2,2,1960,87.9720394736842
1971,65 EMMETT AVE,24,419,91,2,3,2,3,1970,88.4402489626556
1969,20 EPPLEWORTH RD,3,36,90,3,0,2,2,1960,87.9720394736842
1970,15 ERSKINE AVE,16,65,91,3,3,3,2,1970,88.4402489626556
2020,18 ERSKINE AVE,35,315,100,3,3,3,3,2020,98.76923076923077
1964,33 ERSKINE AVE,10,109,77,2,3,3,2,1960,87.9720394736842
1964,55 ERSKINE AVE,16,188,98,3,3,3,3,1960,87.9720394736842
1970,88 ERSKINE AVE,27,491,90,2,3,3,1,1970,88.4402489626556
1947,109 ERSKINE AVE,4,34,70,0,3,3,2,1940,83.27777777777777
1972,110 ERSKINE AVE,23,227,96,2,3,3,3,1970,88.4402489626556
1969,160 ERSKINE AVE,23,250,96,3,3,3,3,1960,87.9720394736842
1961,200 ERSKINE AVE,4,15,99,3,0,3,3,1960,87.9720394736842
1966,20 ESTERBROOKE AVE,15,134,98,2,3,3,3,1960,87.9720394736842
1966,30 ESTERBROOKE AVE,15,163,89,2,3,3,3,1960,87.9720394736842
1963,60 ESTHER LORRIE DR,7,97,93,3,3,3,3,1960,87.9720394736842
1963,70 ESTHER LORRIE DR,7,97,94,0,3,3,3,1960,87.9720394736842
1974,19 EVA RD,14,152,93,2,3,3,3,1970,88.4402489626556
1971,24 EVA RD,19,140,79,2,3,3,3,1970,88.4402489626556
1967,618 EVANS AVE,3,25,91,2,0,3,2,1960,87.9720394736842
1970,190 EXBURY RD,19,154,89,1,3,3,2,1970,88.4402489626556
1968,195 EXBURY RD,20,159,88,2,3,3,3,1960,87.9720394736842
1970,30 FALSTAFF AVE,19,221,96,3,3,3,1,1970,88.4402489626556
1996,338 FALSTAFF AVE,5,175,97,3,3,3,3,1990,88.76712328767124
1960,45 FAYWOOD BLVD,4,33,91,2,0,3,3,1960,87.9720394736842
1952,150 FERMANAGH AVE,5,66,89,3,3,3,3,1950,86.53728070175438
1973,3 FIELD SPARROWAY,4,16,82,1,0,3,3,1970,88.4402489626556
1973,7 FIELD SPARROWAY,4,16,86,1,0,3,2,1970,88.4402489626556
1973,13 FIELD SPARROWAY,4,16,81,1,0,3,3,1970,88.4402489626556
1973,15 FIELD SPARROWAY,4,16,83,1,0,3,3,1970,88.4402489626556
1958,60 FIFTEENTH ST,3,11,94,3,0,3,3,1950,86.53728070175438
1957,66 FIFTEENTH ST,3,23,85,3,0,3,3,1950,86.53728070175438
1955,70 FIFTEENTH ST,3,25,88,2,0,3,3,1950,86.53728070175438
1979,1700 FINCH AVE E,18,275,91,2,3,3,3,1970,88.4402489626556
1975,3333 FINCH AVE E,6,297,82,1,3,3,2,1970,88.4402489626556
1969,601 FINCH AVE W,14,170,82,1,3,3,3,1960,87.9720394736842
1983,623 FINCH AVE W,12,141,82,1,3,2,2,1980,89.2235294117647
1987,625 FINCH AVE W,14,123,87,1,3,2,2,1980,89.2235294117647
2008,2350 FINCH AVE W,4,15,74,2,3,2,2,2000,91.13793103448276
1972,2405 FINCH AVE W,27,258,78,2,3,2,2,1970,88.4402489626556
1959,2431 FINCH AVE W,6,115,77,2,3,2,2,1950,86.53728070175438
1959,2433 FINCH AVE W,6,117,82,2,3,2,2,1950,86.53728070175438
1962,2439 FINCH AVE W,7,112,92,1,3,3,3,1960,87.9720394736842
1993,3001 FINCH AVE W,14,166,83,2,3,2,2,1990,88.76712328767124
1962,1 FIRVALLEY CRT,12,115,92,3,3,2,1,1960,87.9720394736842
1964,40 FIRVALLEY CRT,15,168,96,3,3,2,3,1960,87.9720394736842
1970,25 FISHERVILLE RD,18,221,96,3,3,2,2,1970,88.4402489626556
1953,33 FLAMBOROUGH DR - BLDG A,3,11,49,1,0,3,2,1950,86.53728070175438
1957,1 FLEMINGTON RD,3,31,81,3,0,2,1,1950,86.53728070175438
